trial.time;recording.time;x.0;y.0;x.1;y.1;x.3;y.3;x.2;y.2
1.067;0.0;3.31913;0.716801;-0.691474;0.635928;2.31107;9.97483;7.97125;2.99973
1.1;0.033;3.44864;0.704273;-0.679766;0.670552;2.32952;9.98958;8.11596;3.15166
1.133;0.067;3.55686;0.653366;-0.664258;0.707553;2.31836;9.99493;8.20749;3.33693
1.167;0.1;3.63563;0.571973;-0.655314;0.74576;2.28983;10.0265;8.25458;3.54829
1.2;0.133;3.67431;0.454467;-0.649001;0.774198;2.27515;10.0791;8.24254;3.75754
1.233;0.167;3.66441;0.32485;-0.645442;0.807449;2.29207;10.1166;8.17396;3.95903
1.267;0.2;3.61865;0.224633;-0.640488;0.847083;2.30511;10.1273;8.06492;4.13917
1.3;0.233;3.528;0.156489;-0.63894;0.889606;2.28717;10.1409;7.92226;4.29262
1.333;0.267;3.40902;0.135466;-0.648277;0.930424;2.25344;10.1943;7.75371;4.40797
1.367;0.3;3.29682;0.155388;-0.645435;0.977022;2.25605;10.2621;7.56458;4.47265
1.4;0.333;3.19342;0.216697;-0.651271;1.01739;2.28267;10.3007;7.37275;4.50249
1.433;0.367;3.11665;0.316901;-0.659925;1.05444;2.28199;10.3083;7.15689;4.46328
1.467;0.4;3.07193;0.433809;-0.671954;1.09303;2.25137;10.3264;6.96519;4.37915
1.5;0.433;3.08089;0.553897;-0.682981;1.13436;2.22885;10.3762;6.80052;4.26
1.533;0.467;3.13567;0.681202;-0.689029;1.17825;2.24816;10.4227;6.67732;4.0994
1.567;0.5;3.22698;0.782551;-0.707172;1.21709;2.26472;10.4356;6.60228;3.91196
1.6;0.533;3.34033;0.846846;-0.727642;1.25468;2.25198;10.4332;6.57024;3.71868
1.633;0.567;3.4709;0.870714;-0.742777;1.2933;2.22368;10.466;6.59979;3.51991
1.667;0.6;3.59854;0.854947;-0.762699;1.33559;2.21352;10.5207;6.68622;3.34143
1.7;0.633;3.70423;0.7995;-0.786633;1.38009;2.23675;10.5728;6.80832;3.19356
1.733;0.667;3.77177;0.717146;-0.810589;1.4205;2.25382;10.5863;6.97891;3.09907
1.767;0.7;3.80364;0.613234;-0.833016;1.4612;2.24277;10.5985;7.17688;3.05897
1.8;0.733;3.78592;0.507012;-0.859683;1.49859;2.20754;10.6312;7.3687;3.07935
1.833;0.767;3.73255;0.413221;-0.887059;1.53559;2.19346;10.6888;7.55403;3.15804
1.867;0.8;3.63183;0.34264;-0.923742;1.56892;2.205;10.7274;7.71427;3.3003
1.9;0.833;3.50964;0.317813;-0.957453;1.60729;2.21516;10.7424;7.81699;3.47009
